Voltage,Current,Power
0.0,1.4,0.0
0.227,1.3343,0.30288610000000005
0.431,1.3329,0.5744798999999999
0.67,1.3323,0.8926410000000001
0.99,1.3317,1.318383
1.13,1.3312,1.5042559999999998
1.352,1.3306,1.7989712000000002
1.579,1.3301,2.1002279
1.806,1.3295,2.401077
2.043,1.329,2.715147
2.259,1.3284,3.0008556
2.487,1.3278,3.3022386000000004
2.713,1.3273,3.6009648999999997
2.94,1.3267,3.900498
3.167,1.3262,4.2000754
3.394,1.3256,4.4990863999999995
3.622,1.3251,4.7995122
3.849,1.3245,5.0980005
4.076,1.3239,5.3962164
4.303,1.3234,5.6945901999999995
4.5,1.3228,5.9526
4.757,1.3223,6.2901811
5.0,0.0,0.0
